"Dim1","Dim2","Dim3","Dim4","Val"
"0","Copper","China","ratio",1800000
"0","Copper","China","abs",1800000.00031812
"0","Copper","India","ratio",30000
"0","Copper","India","abs",29999.990796491
"0","Copper","Russia","ratio",930000
"0","Copper","Russia","abs",930000.000482116
"0","Copper","Othercountries","ratio",2700000
"0","Copper","Othercountries","abs",2700000.0003194
"0","Copper","Chile","ratio",5300000
"0","Copper","Chile","abs",5300000.00032021
"0","Copper","Peru","ratio",2600000
"0","Copper","Peru","abs",2600000.00032148
"0","Copper","Kazakhstan","ratio",740000
"0","Copper","Kazakhstan","abs",740000.000326693
"0","Copper","Mexico","ratio",700000
"0","Copper","Mexico","abs",700000.000329856
"0","Copper","Poland","ratio",410000
"0","Copper","Poland","abs",409999.99975149
"0","Copper","Congo","ratio",3300000
"0","Copper","Congo","abs",3300000.0003158
"0","Copper","Indonesia","ratio",1100000
"0","Copper","Indonesia","abs",1100000.00033105
"0","Copper","Zambia","ratio",680000
"0","Copper","Zambia","abs",680000.000334931
"0","RareEarths","UnitedStates","ratio",45000
"0","RareEarths","UnitedStates","abs",46981.8866771591
"0","RareEarths","Australia","ratio",13000
"0","RareEarths","Australia","abs",14981.9090863679
"0","RareEarths","Brazil","ratio",20
"0","RareEarths","Brazil","abs",2001.87515027212
"0","RareEarths","China","ratio",270000
"0","RareEarths","China","abs",272633.692426134
"0","RareEarths","India","ratio",2900
"0","RareEarths","India","abs",4881.87230810846
"0","RareEarths","Malaysia","ratio",130
"0","RareEarths","Malaysia","abs",2111.87677657861
"0","RareEarths","Russia","ratio",2500
"0","RareEarths","Russia","abs",4481.88088290301
"0","RareEarths","Othercountries","ratio",1100
"0","RareEarths","Othercountries","abs",3081.87408150661
"0","RareEarths","Madagascar","ratio",2000
"0","RareEarths","Madagascar","abs",3981.88099871564
"0","RareEarths","Burma","ratio",31000
"0","RareEarths","Burma","abs",32981.8746464753
"0","RareEarths","Nigeria","ratio",13000
"0","RareEarths","Nigeria","abs",14981.8674966535
"0","RareEarths","Thailand","ratio",13000
"0","RareEarths","Thailand","abs",14981.8227103041
"0","RareEarths","Vietnam","ratio",300
"0","RareEarths","Vietnam","abs",2281.87168127069
"0","Lead","UnitedStates","ratio",300000
"0","Lead","UnitedStates","abs",300000.000274766
"0","Lead","Australia","ratio",430000
"0","Lead","Australia","abs",430000.000079546
"0","Lead","China","ratio",1900000
"0","Lead","China","abs",1899999.99990855
"0","Lead","India","ratio",220000
"0","Lead","India","abs",219999.999715322
"0","Lead","Russia","ratio",220000
"0","Lead","Russia","abs",219999.999973047
"0","Lead","Othercountries","ratio",520000
"0","Lead","Othercountries","abs",519999.99973187
"0","Lead","Bolivia","ratio",60000
"0","Lead","Bolivia","abs",60000.0034744933
"0","Lead","Peru","ratio",270000
"0","Lead","Peru","abs",270000.000005882
"0","Lead","Turkey","ratio",70000
"0","Lead","Turkey","abs",69999.9994059044
"0","Lead","Mexico","ratio",180000
"0","Lead","Mexico","abs",180000.00012264
"0","Lead","Iran","ratio",60000
"0","Lead","Iran","abs",59999.9978358846
"0","Lead","Sweden","ratio",70000
"0","Lead","Sweden","abs",70000.0005205014
"0","Lead","Tajikistan","ratio",40000
"0","Lead","Tajikistan","abs",39999.9993580969
"0","Lithium","Australia","ratio",88000
"0","Lithium","Australia","abs",88000.7007599762
"0","Lithium","Brazil","ratio",10000
"0","Lithium","Brazil","abs",10001.2012262386
"0","Lithium","Canada","ratio",4300
"0","Lithium","Canada","abs",4301.73366449538
"0","Lithium","China","ratio",41000
"0","Lithium","China","abs",41001.1057118451
"0","Lithium","Argentina","ratio",18000
"0","Lithium","Argentina","abs",18001.1683182234
"0","Lithium","Chile","ratio",49000
"0","Lithium","Chile","abs",49001.0790221367
"0","Lithium","Zimbabwe","ratio",22000
"0","Lithium","Zimbabwe","abs",22001.1552921138
"0","Lithium","Namibia","ratio",2700
"0","Lithium","Namibia","abs",2697.80806883885
"0","Lithium","Portugal","ratio",380
"0","Lithium","Portugal","abs",374.08060331623
"0","Molybdenum","UnitedStates","ratio",33000
"0","Molybdenum","UnitedStates","abs",32999.6501721119
"0","Molybdenum","Australia","ratio",1000
"0","Molybdenum","Australia","abs",997.218083563346
"0","Molybdenum","Canada","ratio",1200
"0","Molybdenum","Canada","abs",1205.08082290729
"0","Molybdenum","China","ratio",110000
"0","Molybdenum","China","abs",109999.747240914
"0","Molybdenum","Russia","ratio",1700
"0","Molybdenum","Russia","abs",1696.28835005532
"0","Molybdenum","Chile","ratio",38000
"0","Molybdenum","Chile","abs",37999.6492100799
"0","Molybdenum","Peru","ratio",41000
"0","Molybdenum","Peru","abs",40999.6577975241
"0","Molybdenum","Kazakhstan","ratio",3900
"0","Molybdenum","Kazakhstan","abs",3901.31941552553
"0","Molybdenum","RepublicofKorea","ratio",300
"0","Molybdenum","RepublicofKorea","abs",303.694924059435
"0","Molybdenum","Mexico","ratio",17000
"0","Molybdenum","Mexico","abs",16999.6744253369
"0","Molybdenum","Uzbekistan","ratio",1700
"0","Molybdenum","Uzbekistan","abs",1696.2874235978
"0","Molybdenum","Iran","ratio",3000
"0","Molybdenum","Iran","abs",2999.83595118395
"0","Molybdenum","Armenia","ratio",8000
"0","Molybdenum","Armenia","abs",7999.58595353114
"0","Molybdenum","NorthKorea","ratio",700
"0","Molybdenum","NorthKorea","abs",702.358912676406
"0","Molybdenum","Mongolia","ratio",3100
"0","Molybdenum","Mongolia","abs",3099.94744874404
"0","Nickel","UnitedStates","ratio",8000
"0","Nickel","UnitedStates","abs",38080.1662903062
"0","Nickel","Australia","ratio",110000
"0","Nickel","Australia","abs",140080.171553447
"0","Nickel","Brazil","ratio",77000
"0","Nickel","Brazil","abs",107080.166263335
"0","Nickel","Canada","ratio",190000
"0","Nickel","Canada","abs",220080.16590376
"0","Nickel","China","ratio",120000
"0","Nickel","China","abs",150080.166983631
"0","Nickel","Russia","ratio",210000
"0","Nickel","Russia","abs",240080.167049813
"0","Nickel","Othercountries","ratio",300000
"0","Nickel","Othercountries","abs",330080.166204276
"0","Nickel","Indonesia","ratio",2200000
"0","Nickel","Indonesia","abs",2034727.01123418
"0","Nickel","NewCaledonia","ratio",110000
"0","Nickel","NewCaledonia","abs",140080.166828824
"0","Nickel","Philippines","ratio",330000
"0","Nickel","Philippines","abs",360080.166181774
"0","Niobium","Brazil","ratio",100000
"0","Niobium","Brazil","abs",32152.0889417298
"0","Niobium","Canada","ratio",7100
"0","Niobium","Canada","abs",20672.3638081946
"0","Niobium","Russia","ratio",350
"0","Niobium","Russia","abs",13922.3660095852
"0","Niobium","Othercountries","ratio",120
"0","Niobium","Othercountries","abs",13692.352791097
"0","Niobium","Congo","ratio",700
"0","Niobium","Congo","abs",14272.354015365
"0","Niobium","Rwanda","ratio",200
"0","Niobium","Rwanda","abs",13772.3598925197
"0","Selenium","Canada","ratio",130
"0","Selenium","Canada","abs",154.874454077606
"0","Selenium","China","ratio",1800
"0","Selenium","China","abs",1825.58115916742
"0","Selenium","India","ratio",14
"0","Selenium","India","abs",7.03394711443399
"0","Selenium","Russia","ratio",340
"0","Selenium","Russia","abs",366.582218823802
"0","Selenium","Germany","ratio",50
"0","Selenium","Germany","abs",25.3720962163131
"0","Selenium","Peru","ratio",50
"0","Selenium","Peru","abs",25.3724550567764
"0","Selenium","Turkey","ratio",50
"0","Selenium","Turkey","abs",25.3720962163131
"0","Selenium","Japan","ratio",710
"0","Selenium","Japan","abs",739.471244545422
"0","Selenium","Poland","ratio",74
"0","Selenium","Poland","abs",37.8023537728662
"0","Selenium","Uzbekistan","ratio",2
"0","Selenium","Uzbekistan","abs",0.789188182663687
"0","Selenium","Finland","ratio",170
"0","Selenium","Finland","abs",190.945244410425
"0","Selenium","SouthAfrica","ratio",9
"0","Selenium","SouthAfrica","abs",3.44554888055918
"0","Selenium","Belgium","ratio",200
"0","Selenium","Belgium","abs",225.826789626752
"0","Selenium","Serbia","ratio",60
"0","Selenium","Serbia","abs",30.5312025152381
"0","Silicon","Brazil","ratio",200000
"0","Silicon","Brazil","abs",221311.500506272
"0","Silicon","Canada","ratio",20000
"0","Silicon","Canada","abs",41311.4975730051
"0","Silicon","China","ratio",3500000
"0","Silicon","China","abs",3542917.5655689
"0","Silicon","Iceland","ratio",70000
"0","Silicon","Iceland","abs",91311.5010751597
"0","Silicon","India","ratio",60000
"0","Silicon","India","abs",81311.5018787829
"0","Silicon","Malaysia","ratio",130000
"0","Silicon","Malaysia","abs",151311.50121745
"0","Silicon","Norway","ratio",180000
"0","Silicon","Norway","abs",201311.500888034
"0","Silicon","Russia","ratio",470000
"0","Silicon","Russia","abs",491311.505396602
"0","Silicon","Othercountries","ratio",130000
"0","Silicon","Othercountries","abs",151311.504437245
"0","Silicon","Kazakhstan","ratio",130000
"0","Silicon","Kazakhstan","abs",151311.500406741
